Timestamp,"Do you prefer to study in the morning, afternoon, or evening?","How often do you exercise or engage in physical activity each week? (hours in number)
Its ok to say 0 like me",Do you play video games?,Do you watch movies or TV shows regularly?,"If you watch movies or TV shows, what genre(s) do you prefer?",How many hours of sleep do you usually get each night? (hours in number),How often do you use social media each day? (hours in number),extracurricular_hours,How often do you attend classes?,Do you usually study alone or with others?,How often do you seek help from professors or teaching assistants?,"Do you use any study aids, such as flashcards or study guides?",How often do you attend office hours or tutoring sessions?,Do you have a part-time job or internship?,How do you usually commute to campus?,How often do you meet with academic advisors?,"On average, how many hours do you study each day? (hours in number)",naps,What is your current CGPA?
3/15/2023 14:43:50,Evening,5,Yes,Yes,Action,5,6,3,Mostly,Alone,Sometimes,No,Never,No,Walk,Sometimes,3,Yes,3.15
3/15/2023 16:03:58,Evening,0,No,Yes,Science Fiction,5,5,2,Mostly,Alone,Sometimes,No,Sometimes,No,Walk,Sometimes,3,Yes,3.4
3/15/2023 16:06:37,Evening,15,No,Yes,Drama,10,5,2,Always,With Friends,Sometimes,No,Never,No,Walk,Sometimes,2,Yes,3
3/15/2023 16:18:59,Evening,0,Yes,Yes,Action,3,0,15,Mostly,Alone,Never,No,Never,Yes,Public Transport,Sometimes,5,No,3.73
3/15/2023 17:51:19,Evening,1,Yes,Yes,Action,8,5,10,Always,Alone,Sometimes,Yes,Sometimes,No,Walk,Sometimes,3,No,3.2
3/15/2023 18:27:34,Evening,8,Yes,No,"Action, Drama, Science Fiction",6,5,24,Mostly,Alone,Never,No,Always,Yes,Public Transport,Never,2,No,3.25
3/15/2023 18:29:28,Evening,0,Yes,Yes,"Action, Comedy, Drama, Science Fiction",6,4,0,Sometimes,With Friends,Sometimes,Yes,Always,Yes,Public Transport,Sometimes,3,Yes,3.48
3/15/2023 18:53:26,Evening,7,No,Yes,Action,7,2,10,Always,Alone,Sometimes,No,Sometimes,No,Walk,Sometimes,4,Yes,2.9
3/15/2023 19:27:58,Evening,7,Yes,Yes,"Action, Comedy, Drama, Horror, Science Fiction",7,3,5,Always,Alone,Often,No,Never,Yes,Public Transport,Never,2,Yes,3.9
3/15/2023 19:40:49,Morning,1,No,No,"Action, Comedy, Drama, Horror, Science Fiction",4,6,1,Always,Alone,Sometimes,No,Sometimes,No,Public Transport,Always,9,Yes,3.28
3/15/2023 19:53:37,Evening,0,Yes,Yes,"Action, Comedy, Science Fiction",8,8,30,Sometimes,Alone,Never,No,Never,No,Drive,Never,1,Yes,3.31
3/15/2023 20:02:09,Afternoon,0,No,No,Action,6,13,0,Sometimes,With Friends,Sometimes,No,Sometimes,No,Drive,Never,3,Yes,2.9
3/15/2023 20:20:50,Morning,8,No,Yes,Science Fiction,8,3,7,Always,Alone,Sometimes,Yes,Often,Yes,Walk,Sometimes,2,Yes,3.15
3/15/2023 20:41:15,Evening,0,No,Yes,"Comedy, Science Fiction",6,4,0,Sometimes,Alone,Never,No,Never,No,Public Transport,Never,3,No,3.75
3/15/2023 20:44:13,Afternoon,1,Yes,No,"Action, Drama, Science Fiction",5,1,1,Always,Alone,Never,No,Never,Yes,Shuttle,Never,1,Yes,3.81
3/15/2023 21:34:00,Evening,2,Yes,Yes,"Action, Comedy, Drama, Horror, Science Fiction",8,2,12,Never,Alone,Sometimes,Yes,Sometimes,No,Bike,Never,1,Yes,3.44
3/15/2023 21:53:25,Morning,7,No,No,"Action, Comedy",6,4,14,Always,With Friends,Sometimes,No,Sometimes,No,Public Transport,Sometimes,2,No,3.46
3/15/2023 22:13:49,Evening,12,Yes,No,"Action, Comedy, Drama, Horror, Science Fiction",6,4,3,Mostly,Alone,Never,No,Never,Yes,Shuttle,Often,1,No,3.64
3/15/2023 22:16:34,Morning,0,Yes,Yes,"Comedy, Drama",5,2,0,Sometimes,With Friends,Sometimes,No,Sometimes,No,Public Transport,Sometimes,1,Yes,3.2
3/15/2023 22:17:16,Morning,2,No,Yes,"Action, Comedy, Science Fiction",6,2,2,Mostly,Alone,Sometimes,No,Never,No,Walk,Sometimes,2,Yes,3.7
3/15/2023 22:18:28,Evening,0,No,No,"Comedy, Drama",6,3,2,Always,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,5,Yes,3.96
3/15/2023 22:38:42,Morning,4,No,No,Comedy,6,1,2,Always,Alone,Sometimes,Yes,Sometimes,No,Public Transport,Sometimes,4,Yes,4
3/16/2023 0:10:13,Evening,3,Yes,Yes,"Comedy, Drama, Horror, Science Fiction",7,8,17,Always,Alone,Never,No,Never,No,Public Transport,Never,3,No,3.77
3/16/2023 5:28:56,Morning,1,Yes,Yes,Drama,6,1,5,Mostly,With Friends,Sometimes,No,Often,No,Bike,Sometimes,1,Yes,3.2
3/16/2023 10:45:14,Evening,0.33,No,Yes,"Action, Comedy, Drama",4.5,0,0,Always,Alone,Sometimes,No,Sometimes,No,Drive,Sometimes,1.5,Yes,3.1
3/16/2023 11:40:04,Evening,0,Yes,Yes,"Action, Comedy, Drama, Horror, Science Fiction",6.5,2,0,Mostly,Alone,Sometimes,No,Often,No,Public Transport,Often,3.5,Yes,2.3
3/16/2023 22:38:11,Morning,4,No,No,"Action, Comedy, Drama, Horror, Science Fiction",7,3,0,Always,Alone,Never,No,Sometimes,Yes,Walk,Sometimes,1,Yes,2.3
3/17/2023 2:58:15,Morning,2,Yes,Yes,Science Fiction,7,6,4,Always,Alone,Sometimes,No,Sometimes,No,Walk,Sometimes,2,Yes,3.78
3/17/2023 3:48:53,Evening,6,Yes,Yes,"Action, Comedy, Science Fiction",6,3,7,Mostly,Alone,Sometimes,No,Never,Yes,Public Transport,Sometimes,2,No,3.78
3/17/2023 8:23:56,Morning,0,No,No,"Horror, Science Fiction",5.6,4,4.5,Always,Alone,Often,No,Never,No,Walk,Sometimes,5.5,Yes,2.3
3/17/2023 11:00:51,Evening,2,Yes,Yes,"Comedy, Drama, Horror",5.5,7.5,3.5,Always,Alone,Often,No,Never,No,Drive,Never,7.5,Yes,2.3
3/17/2023 11:03:11,Morning,0,No,No,Action,6,4,1,Always,With Friends,Sometimes,No,Never,No,Public Transport,Sometimes,1,No,2.17
3/17/2023 11:05:52,Evening,3.5,No,No,Comedy,6.5,3.5,4.5,Mostly,Alone,Sometimes,Yes,Sometimes,No,Public Transport,Sometimes,2.5,Yes,2.9
3/17/2023 11:07:24,Evening,2.3,Yes,Yes,"Action, Horror, Science Fiction",7.5,10,10,Always,Alone,Sometimes,Yes,Never,No,Walk,Never,3,No,2.3
3/17/2023 11:08:15,Evening,12,Yes,No,"Action, Comedy, Horror, Science Fiction",8,5.5,0,Always,Alone,Never,No,Never,No,Walk,Never,1,No,3.9
3/17/2023 11:24:36,Morning,0,No,Yes,"Action, Drama",6.5,3.5,2.5,Always,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,3.5,Yes,2.3
3/17/2023 11:25:17,Evening,1,No,Yes,Drama,6.5,4.5,30,Mostly,Alone,Never,Yes,Never,No,Walk,Sometimes,3,Yes,2.3
3/17/2023 11:30:15,Morning,1,No,No,"Comedy, Drama",4.5,4.5,2,Always,Alone,Never,No,Never,No,Public Transport,Sometimes,1,No,3.27
3/17/2023 11:42:18,Morning,0,Yes,Yes,Drama,7.8,4,2,Always,Alone,Always,No,Often,No,Public Transport,Sometimes,4,No,3.3
3/17/2023 11:56:49,Afternoon,0,No,No,Comedy,7,1,2,Always,Alone,Sometimes,No,Never,No,Drive,Never,1,Yes,3.15
3/17/2023 11:57:39,Evening,0,No,Yes,Science Fiction,8,14,1,Mostly,Alone,Never,No,Never,No,Public Transport,Never,0,No,3.9
3/17/2023 12:00:29,Morning,5,No,No,"Action, Comedy, Drama",6.7,2.5,1,Always,With Friends,Always,No,Never,No,Public Transport,Always,2.5,Yes,3.06
3/17/2023 12:03:41,Morning,0,Yes,No,"Action, Comedy, Horror, Science Fiction",6,4.5,20,Mostly,Alone,Sometimes,No,Sometimes,No,Shuttle,Sometimes,4,Yes,2.3
3/17/2023 12:05:08,Morning,10,Yes,Yes,Comedy,8,4,12,Mostly,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,3,Yes,2.72
3/17/2023 12:25:20,Morning,4,Yes,No,"Action, Comedy, Science Fiction",8,3,20,Always,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,2,Yes,3.72
3/17/2023 12:28:44,Evening,0,No,No,Horror,6,17,14,Always,Alone,Never,No,Often,No,Public Transport,Never,4,No,3.5
3/17/2023 12:32:37,Morning,3,No,Yes,"Action, Drama, Horror",4,0.5,3,Always,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,1,Yes,3.49
